"event","experiment time","system time","system time text"
"START",0.000000000E0,1728281807.856,"2024-10-07 09:16:47.856 UTC+03:00"
"PAUSE",3.459678760E2,1728282153.824,"2024-10-07 09:22:33.824 UTC+03:00"
