"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.119462720E2,6.499448500E1,2.551700500E1,1.183276421E1,9.707661271E-1,1.562899933E2,1.600000024E0,9.000000000E0
2.129462720E2,6.499447333E1,2.551701833E1,1.163275174E1,1.025841355E0,1.554499969E2,1.600000024E0,9.100000381E0
2.139462720E2,6.499446167E1,2.551703500E1,1.133273883E1,1.077828288E0,1.451199951E2,1.600000024E0,9.199999809E0
2.149462720E2,6.499445167E1,2.551705667E1,1.113272683E1,1.127241611E0,1.367400055E2,1.600000024E0,9.399999619E0
2.159462720E2,6.499444333E1,2.551707167E1,1.093271721E1,1.157610297E0,1.416000061E2,1.600000024E0,9.500000000E0
2.169462720E2,6.499443667E1,2.551709333E1,1.113270829E1,1.181802273E0,1.408800049E2,1.600000024E0,9.500000000E0
2.179462720E2,6.499442833E1,2.551711500E1,1.133269782E1,1.189008355E0,1.275800018E2,1.600000024E0,9.100000381E0
2.189462720E2,6.499442333E1,2.551713667E1,1.133269044E1,1.246657252E0,1.400899963E2,1.600000024E0,9.199999809E0
2.199462720E2,6.499441500E1,2.551714833E1,1.153268125E1,1.240995288E0,1.390500031E2,1.600000024E0,9.300000191E0
2.209462720E2,6.499440833E1,2.551716000E1,1.173267360E1,1.248201370E0,1.495299988E2,1.600000024E0,9.399999619E0
2.219462720E2,6.499440333E1,2.551717167E1,1.173266749E1,1.258495808E0,1.412200012E2,1.500000000E0,9.800000191E0
2.229462720E2,6.499439667E1,2.551718667E1,1.183265942E1,1.246142507E0,1.446799927E2,1.500000000E0,9.500000000E0
2.239462720E2,6.499439000E1,2.551720833E1,1.213265049E1,1.195184946E0,1.386600037E2,1.600000024E0,9.600000381E0
2.249462720E2,6.499438333E1,2.551722500E1,1.283264220E1,1.174596071E0,1.392100067E2,1.600000024E0,9.399999619E0
2.259462720E2,6.499437667E1,2.551724500E1,1.313263349E1,1.122609138E0,1.524100037E2,1.500000000E0,9.399999619E0
2.269462720E2,6.499436833E1,2.551726333E1,1.373262345E1,1.112829447E0,1.445599976E2,1.500000000E0,9.399999619E0
2.279462720E2,6.499436167E1,2.551727833E1,1.443261538E1,1.116947174E0,1.349700012E2,1.500000000E0,9.399999619E0
2.289462720E2,6.499435500E1,2.551730500E1,1.473260581E1,1.105108619E0,1.325099945E2,1.600000024E0,9.300000191E0
2.299462720E2,6.499434667E1,2.551733500E1,1.503259428E1,1.100476146E0,1.337899933E2,1.600000024E0,9.199999809E0
2.309462720E2,6.499433833E1,2.551735667E1,1.523258381E1,1.113858938E0,1.393099976E2,1.600000024E0,9.100000381E0
2.319462720E2,6.499433000E1,2.551737833E1,1.543257334E1,1.140109777E0,1.310599976E2,1.600000024E0,9.199999809E0
2.329462720E2,6.499432333E1,2.551739500E1,1.593256506E1,1.135991931E0,1.376600037E2,1.600000024E0,9.100000381E0
2.339462720E2,6.499431500E1,2.551741500E1,1.683255480E1,1.167389989E0,1.434900055E2,1.500000000E0,9.199999809E0
2.349462720E2,6.499430667E1,2.551743833E1,1.743254412E1,1.174596071E0,1.408699951E2,1.500000000E0,8.899999619E0
2.359462720E2,6.499429667E1,2.551746000E1,1.773253212E1,1.235333323E0,1.415000000E2,1.500000000E0,9.000000000E0
2.369462720E2,6.499428667E1,2.551748000E1,1.773252032E1,1.255922198E0,1.410299988E2,1.500000000E0,8.899999619E0
2.379462720E2,6.499427833E1,2.551750333E1,1.793250964E1,1.250260234E0,1.378200073E2,1.500000000E0,8.899999619E0
2.389462720E2,6.499427000E1,2.551752500E1,1.793249917E1,1.252833843E0,1.311499939E2,1.500000000E0,8.699999809E0
2.399462720E2,6.499426000E1,2.551754667E1,1.793248717E1,1.260554671E0,1.431199951E2,1.500000000E0,8.600000381E0
2.409472720E2,6.499425000E1,2.551756667E1,1.773247537E1,1.259525299E0,1.439900055E2,1.500000000E0,8.800000191E0
2.419472720E2,6.499424167E1,2.551758333E1,1.763246554E1,1.252833843E0,1.374100037E2,1.399999976E0,8.699999809E0
2.429472720E2,6.499423333E1,2.551760333E1,1.743245529E1,1.244083643E0,1.396399994E2,1.500000000E0,8.800000191E0
2.439472720E2,6.499422500E1,2.551762333E1,1.743244503E1,1.244083643E0,1.331999969E2,1.500000000E0,8.800000191E0
2.449472720E2,6.499421500E1,2.551764333E1,1.713243324E1,1.255407453E0,1.326199951E2,1.500000000E0,9.000000000E0
2.459472720E2,6.499420500E1,2.551766333E1,1.653242145E1,1.258495808E0,1.344900055E2,1.500000000E0,9.000000000E0
2.469472720E2,6.499419667E1,2.551768333E1,1.603241119E1,1.283717275E0,1.363200073E2,1.500000000E0,9.100000381E0
2.479472720E2,6.499418667E1,2.551770167E1,1.573239961E1,1.303791404E0,1.343899994E2,1.500000000E0,9.100000381E0
2.489472720E2,6.499417500E1,2.551771667E1,1.553238691E1,1.285261393E0,1.425800018E2,1.500000000E0,9.399999619E0
2.499472720E2,6.499416333E1,2.551773500E1,1.533237379E1,1.292467475E0,1.454299927E2,1.500000000E0,9.600000381E0
2.509472720E2,6.499415667E1,2.551775167E1,1.493236550E1,1.299158931E0,1.403099976E2,1.500000000E0,9.800000191E0
2.519472720E2,6.499414667E1,2.551777500E1,1.463235328E1,1.307909131E0,1.391900024E2,1.500000000E0,9.399999619E0
2.529472720E2,6.499413833E1,2.551779333E1,1.453234324E1,1.303791404E0,1.593500061E2,1.600000024E0,8.899999619E0
2.539472720E2,6.499412833E1,2.551780333E1,1.513233272E1,1.321806669E0,1.639900055E2,1.500000000E0,8.600000381E0
2.549472720E2,6.499411500E1,2.551780833E1,1.563231976E1,1.319233060E0,1.694700012E2,1.500000000E0,8.500000000E0
2.559472720E2,6.499410333E1,2.551781000E1,1.593230877E1,1.308423877E0,1.941499939E2,1.500000000E0,8.199999809E0
2.569472720E2,6.499409167E1,2.551780333E1,1.603229885E1,1.303276658E0,2.055899963E2,1.500000000E0,8.300000191E0
2.579472720E2,6.499408167E1,2.551778833E1,1.623229153E1,1.292982221E0,2.107599945E2,1.500000000E0,8.000000000E0
2.589472720E2,6.499407333E1,2.551776833E1,1.663228639E1,1.318203568E0,2.066799927E2,1.500000000E0,8.199999809E0
2.599472720E2,6.499406000E1,2.551775500E1,1.723227578E1,1.323865533E0,2.088699951E2,1.500000000E0,7.900000095E0
2.609472720E2,6.499404667E1,2.551773333E1,1.733226623E1,1.347028017E0,2.117500000E2,1.500000000E0,7.900000095E0
2.619472720E2,6.499403667E1,2.551771667E1,1.743225913E1,1.357322454E0,2.119799957E2,1.500000000E0,7.900000095E0
2.629472720E2,6.499402833E1,2.551769833E1,1.753225378E1,1.376881957E0,2.191699982E2,1.500000000E0,7.800000191E0
2.639472720E2,6.499401667E1,2.551768167E1,1.743224513E1,1.389235258E0,2.086900024E2,1.500000000E0,8.000000000E0
2.649472720E2,6.499400500E1,2.551766167E1,1.703223691E1,1.397985578E0,2.048699951E2,1.500000000E0,7.900000095E0
2.659472720E2,6.499399000E1,2.551765167E1,1.663222434E1,1.408280015E0,1.973500061E2,1.500000000E0,7.800000191E0
2.669472720E2,6.499397667E1,2.551764500E1,1.643221287E1,1.405191660E0,1.916100006E2,1.399999976E0,8.000000000E0
2.679472720E2,6.499396333E1,2.551764167E1,1.623220099E1,1.416515589E0,1.857299957E2,1.399999976E0,8.100000381E0
2.689472720E2,6.499395000E1,2.551763667E1,1.603218931E1,1.400044441E0,1.867799988E2,1.500000000E0,8.199999809E0
2.699472720E2,6.499393833E1,2.551763333E1,1.593217896E1,1.399014950E0,1.811900024E2,1.399999976E0,8.100000381E0
2.709472720E2,6.499392500E1,2.551763167E1,1.573216686E1,1.379970312E0,1.766399994E2,1.500000000E0,8.199999809E0
2.719472720E2,6.499391333E1,2.551762833E1,1.563215651E1,1.359381437E0,1.795299988E2,1.500000000E0,8.199999809E0
2.729472720E2,6.499390167E1,2.551763333E1,1.533214509E1,1.360925555E0,1.698800049E2,1.500000000E0,8.100000381E0
2.739472720E2,6.499389000E1,2.551764500E1,1.523213282E1,1.345483899E0,1.684499969E2,1.500000000E0,8.100000381E0
2.749472720E2,6.499387833E1,2.551765333E1,1.523212098E1,1.350116372E0,1.598899994E2,1.500000000E0,8.199999809E0
2.759472720E2,6.499386667E1,2.551766667E1,1.523210849E1,1.377911329E0,1.564199982E2,1.500000000E0,8.300000191E0
2.769472720E2,6.499385500E1,2.551768000E1,1.503209601E1,1.391808867E0,1.554900055E2,1.500000000E0,8.300000191E0
2.779472720E2,6.499384333E1,2.551769000E1,1.503208395E1,1.409309387E0,1.557500000E2,1.500000000E0,8.600000381E0
2.789472720E2,6.499383333E1,2.551770167E1,1.503207322E1,1.405706406E0,1.516000061E2,1.500000000E0,8.500000000E0
2.799472720E2,6.499382333E1,2.551771333E1,1.503206249E1,1.407250524E0,1.495599976E2,1.500000000E0,8.399999619E0
2.809472720E2,6.499381500E1,2.551772833E1,1.463205287E1,1.382029176E0,1.420899963E2,1.500000000E0,8.600000381E0
2.819472720E2,6.499381000E1,2.551774833E1,1.433204569E1,1.385632277E0,1.388099976E2,1.500000000E0,8.500000000E0
2.829472720E2,6.499380000E1,2.551777667E1,1.403203283E1,1.384088039E0,1.364799957E2,1.500000000E0,8.399999619E0
2.839472720E2,6.499379000E1,2.551780333E1,1.383202018E1,1.385117531E0,1.435299988E2,1.500000000E0,8.399999619E0
2.849472720E2,6.499377333E1,2.551782000E1,1.383200265E1,1.368131638E0,1.484700012E2,1.500000000E0,8.300000191E0
2.859472720E2,6.499376000E1,2.551783833E1,1.353198799E1,1.332101107E0,1.415899963E2,1.500000000E0,8.399999619E0
2.869472720E2,6.499374667E1,2.551785667E1,1.333197332E1,1.328498006E0,1.493200073E2,1.500000000E0,8.199999809E0
2.879472720E2,6.499373500E1,2.551787167E1,1.323196062E1,1.306365013E0,1.505599976E2,1.500000000E0,8.199999809E0
2.889472720E2,6.499372333E1,2.551788167E1,1.313194857E1,1.318718314E0,1.648699951E2,1.500000000E0,8.399999619E0
2.899472720E2,6.499371167E1,2.551789667E1,1.313193587E1,1.342910290E0,1.527100067E2,1.500000000E0,8.199999809E0
2.909472720E2,6.499369833E1,2.551791167E1,1.283192163E1,1.383573294E0,1.513600006E2,1.500000000E0,8.399999619E0
2.919472720E2,6.499368500E1,2.551792500E1,1.243190760E1,1.396956086E0,1.576100006E2,1.500000000E0,8.300000191E0
2.929472720E2,6.499367333E1,2.551793833E1,1.243189512E1,1.392838359E0,1.656499939E2,1.500000000E0,8.399999619E0
2.939472720E2,6.499366167E1,2.551794333E1,1.263188370E1,1.384602785E0,1.667200012E2,1.399999976E0,8.199999809E0
2.949472720E2,6.499365000E1,2.551794833E1,1.283187228E1,1.386661649E0,1.714900055E2,1.500000000E0,8.000000000E0
2.959472720E2,6.499363833E1,2.551795500E1,1.313186065E1,1.395411968E0,1.707599945E2,1.500000000E0,7.900000095E0
2.969472720E2,6.499362500E1,2.551796000E1,1.323184769E1,1.377911329E0,1.774799957E2,1.500000000E0,7.900000095E0
2.979472720E2,6.499361000E1,2.551796833E1,1.353183277E1,1.378940821E0,1.773399963E2,1.500000000E0,8.199999809E0
2.989472720E2,6.499359833E1,2.551797667E1,1.403182092E1,1.399014950E0,1.809100037E2,1.500000000E0,8.100000381E0
2.999472720E2,6.499358833E1,2.551798167E1,1.463181105E1,1.366072774E0,1.802500000E2,1.500000000E0,7.699999809E0
3.009472720E2,6.499357833E1,2.551798500E1,1.493180138E1,1.309968114E0,1.662200012E2,1.500000000E0,7.800000191E0
3.019472720E2,6.499356833E1,2.551798500E1,1.483179214E1,1.274966955E0,1.686699982E2,1.399999976E0,7.500000000E0
3.029472720E2,6.499356000E1,2.551798167E1,1.503178487E1,1.267246127E0,1.902500000E2,1.399999976E0,7.599999905E0
3.039472720E2,6.499354833E1,2.551797500E1,1.513177495E1,1.279599428E0,1.878600006E2,1.500000000E0,7.800000191E0
3.049472720E2,6.499353167E1,2.551797167E1,1.523175998E1,1.298129439E0,1.849799957E2,1.500000000E0,8.000000000E0
3.059472720E2,6.499351833E1,2.551796500E1,1.523174851E1,1.301732540E0,1.833999939E2,1.500000000E0,8.100000381E0
3.069472720E2,6.499350333E1,2.551796000E1,1.533173530E1,1.330042243E0,1.896199951E2,1.500000000E0,8.100000381E0
3.079472720E2,6.499349167E1,2.551795333E1,1.553172537E1,1.357837200E0,1.868500061E2,1.500000000E0,8.000000000E0
3.089472720E2,6.499348000E1,2.551794833E1,1.613171523E1,1.360925555E0,1.834600067E2,1.500000000E0,8.300000191E0
3.099472720E2,6.499346667E1,2.551794833E1,1.663170292E1,1.397470832E0,1.856300049E2,1.500000000E0,7.800000191E0
3.109472720E2,6.499345500E1,2.551794667E1,1.683169235E1,1.448428392E0,1.858699951E2,1.500000000E0,7.699999809E0
3.119472720E2,6.499344167E1,2.551794167E1,1.673168068E1,1.483429432E0,1.822799988E2,1.500000000E0,7.800000191E0
3.129472720E2,6.499342833E1,2.551794333E1,1.663166814E1,1.496297479E0,1.830200043E2,1.500000000E0,7.900000095E0
3.139472720E2,6.499341667E1,2.551794167E1,1.673165758E1,1.492694497E0,1.840399933E2,1.500000000E0,8.100000381E0
3.149472720E2,6.499340667E1,2.551794333E1,1.673164813E1,1.470046639E0,1.866199951E2,1.500000000E0,8.000000000E0
3.159472720E2,6.499339500E1,2.551794167E1,1.683163756E1,1.465928912E0,1.858699951E2,1.500000000E0,8.000000000E0
3.169472720E2,6.499338333E1,2.551793833E1,1.693162721E1,1.431442499E0,1.874400024E2,1.500000000E0,8.000000000E0
3.179472720E2,6.499337000E1,2.551794167E1,1.703161447E1,1.397985578E0,1.872799988E2,1.500000000E0,8.199999809E0
3.189472720E2,6.499335833E1,2.551794000E1,1.713160390E1,1.382543921E0,1.865700073E2,1.500000000E0,8.199999809E0
3.199472720E2,6.499334333E1,2.551794500E1,1.703158941E1,1.353719473E0,1.802799988E2,1.500000000E0,8.300000191E0
3.209472720E2,6.499333167E1,2.551794833E1,1.673157820E1,1.337763071E0,1.833999939E2,1.500000000E0,8.300000191E0
3.219472720E2,6.499331667E1,2.551794667E1,1.673156456E1,1.332101107E0,1.820899963E2,1.500000000E0,8.199999809E0
3.229472720E2,6.499330333E1,2.551794833E1,1.673155203E1,1.333645225E0,1.809700012E2,1.399999976E0,8.399999619E0
3.239472720E2,6.499329000E1,2.551795167E1,1.663153928E1,1.323865533E0,1.830899963E2,1.500000000E0,8.300000191E0
3.249472720E2,6.499327833E1,2.551795333E1,1.653152829E1,1.330042243E0,1.790399933E2,1.500000000E0,8.199999809E0
3.259472720E2,6.499326333E1,2.551795500E1,1.653151422E1,1.323865533E0,1.917100067E2,1.500000000E0,8.199999809E0
3.269472720E2,6.499325000E1,2.551795167E1,1.643150233E1,1.334674716E0,1.918699951E2,1.500000000E0,8.199999809E0
3.279472720E2,6.499323833E1,2.551795000E1,1.623149177E1,1.342395544E0,1.751600037E2,1.500000000E0,8.300000191E0
3.289472720E2,6.499322500E1,2.551795667E1,1.583147859E1,1.351145864E0,1.757100067E2,1.500000000E0,8.399999619E0
3.299472720E2,6.499321167E1,2.551795667E1,1.553146628E1,1.364013910E0,1.762200012E2,1.500000000E0,8.300000191E0
3.309472720E2,6.499319667E1,2.551796000E1,1.533145199E1,1.378940821E0,1.802100067E2,1.399999976E0,8.100000381E0
3.319472720E2,6.499318167E1,2.551796167E1,1.483143792E1,1.390779495E0,1.806300049E2,1.399999976E0,8.000000000E0
3.329472720E2,6.499316833E1,2.551796333E1,1.443142539E1,1.407250524E0,1.756100006E2,1.500000000E0,8.100000381E0
3.339472720E2,6.499315333E1,2.551796333E1,1.423141153E1,1.425780535E0,1.799199982E2,1.500000000E0,8.100000381E0
3.349472720E2,6.499314000E1,2.551796167E1,1.423139943E1,1.421148062E0,1.823800049E2,1.500000000E0,8.000000000E0
3.359472720E2,6.499312833E1,2.551796167E1,1.413138865E1,1.412912488E0,1.726900024E2,1.500000000E0,8.199999809E0
3.369472720E2,6.499311500E1,2.551796500E1,1.423137590E1,1.425265789E0,1.739499969E2,1.399999976E0,8.300000191E0
3.379472720E2,6.499310333E1,2.551796667E1,1.453136491E1,1.412397742E0,1.747599945E2,1.399999976E0,8.399999619E0
3.389472720E2,6.499309000E1,2.551796500E1,1.473135281E1,1.402618051E0,1.811699982E2,1.500000000E0,8.199999809E0
3.399472720E2,6.499307667E1,2.551796667E1,1.523134028E1,1.405191660E0,1.822299957E2,1.500000000E0,8.100000381E0
3.409472720E2,6.499306000E1,2.551796167E1,1.543132552E1,1.408794761E0,1.761799927E2,1.500000000E0,8.199999809E0
3.419472720E2,6.499304667E1,2.551795833E1,1.553131363E1,1.410338879E0,1.804900055E2,1.500000000E0,8.300000191E0
3.429472720E2,6.499303000E1,2.551795333E1,1.563129888E1,1.396956086E0,1.755099945E2,1.500000000E0,8.399999619E0
3.439472720E2,6.499301667E1,2.551795500E1,1.563128635E1,1.382029176E0,1.791699982E2,1.500000000E0,8.699999809E0
3.449472720E2,6.499300500E1,2.551795000E1,1.573127621E1,1.369161129E0,1.819600067E2,1.600000024E0,9.100000381E0
