"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.094627198E1,6.499628500E1,2.551656333E1,1.383448271E1,1.120550275E0,1.815099945E2,1.500000000E0,9.800000191E0
4.194627198E1,6.499627500E1,2.551656667E1,1.423447306E1,1.147830606E0,1.721199951E2,1.500000000E0,1.000000000E1
4.294627198E1,6.499626333E1,2.551657167E1,1.433446165E1,1.168419480E0,1.784799957E2,1.500000000E0,1.000000000E1
4.394627198E1,6.499625000E1,2.551657167E1,1.443444934E1,1.182316899E0,1.912299957E2,1.500000000E0,1.019999981E1
4.494627198E1,6.499623833E1,2.551657167E1,1.483443856E1,1.163786888E0,1.845399933E2,1.500000000E0,1.050000000E1
4.594627198E1,6.499622667E1,2.551657000E1,1.513442800E1,1.140624404E0,1.838800049E2,1.500000000E0,1.000000000E1
4.694627198E1,6.499621333E1,2.551657333E1,1.553441527E1,1.193126082E0,1.813899994E2,1.500000000E0,9.699999809E0
4.794627198E1,6.499620000E1,2.551657667E1,1.603440253E1,1.197243929E0,1.791699982E2,1.500000000E0,9.699999809E0
4.894627198E1,6.499619000E1,2.551657833E1,1.613439309E1,1.178713918E0,1.795299988E2,1.500000000E0,9.800000191E0
4.994627198E1,6.499617500E1,2.551658000E1,1.623437902E1,1.153492451E0,1.757899933E2,1.500000000E0,9.699999809E0
5.094627198E1,6.499616000E1,2.551657333E1,1.663436602E1,1.183861136E0,1.882700043E2,1.500000000E0,9.600000381E0
5.194627198E1,6.499614500E1,2.551656000E1,1.673435387E1,1.170993090E0,1.921100006E2,1.500000000E0,9.800000191E0
5.294627198E1,6.499612833E1,2.551654833E1,1.663433996E1,1.142683387E0,1.949299927E2,1.500000000E0,1.050000000E1
5.394627198E1,6.499611500E1,2.551654667E1,1.673432786E1,1.129300594E0,1.831399994E2,1.500000000E0,1.000000000E1
5.494627198E1,6.499610333E1,2.551655000E1,1.673431667E1,1.138565540E0,1.757799988E2,1.500000000E0,1.019999981E1
