"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.755527660E-1,1.870000064E-1,-1.560000032E-1,-2.370000035E-1
3.804905570E-1,1.870000064E-1,-1.560000032E-1,-2.370000035E-1
3.854283480E-1,1.870000064E-1,-1.560000032E-1,-2.370000035E-1
3.903653140E-1,3.999999911E-2,-1.679999977E-1,-4.819999933E-1
3.953017890E-1,3.999999911E-2,-1.679999977E-1,-4.819999933E-1
4.002382640E-1,3.999999911E-2,-1.679999977E-1,-4.819999933E-1
4.051747890E-1,-1.070000008E-1,-2.300000042E-1,-4.429999888E-1
4.101114940E-1,-1.070000008E-1,-2.300000042E-1,-4.429999888E-1
4.150481990E-1,-1.070000008E-1,-2.300000042E-1,-4.429999888E-1
4.199849440E-1,-1.580000073E-1,-3.050000072E-1,4.199999943E-2
4.249218890E-1,-1.580000073E-1,-3.050000072E-1,4.199999943E-2
4.298588340E-1,-1.580000073E-1,-3.050000072E-1,4.199999943E-2
4.347957790E-1,-1.580000073E-1,-3.050000072E-1,4.199999943E-2
4.397344770E-1,2.360000014E-1,-1.979999989E-1,7.340000272E-1
4.446731220E-1,2.360000014E-1,-1.979999989E-1,7.340000272E-1
4.496117670E-1,2.360000014E-1,-1.979999989E-1,7.340000272E-1
4.545490220E-1,9.679999948E-1,-1.080000028E-1,1.641000032E0
4.594859530E-1,9.679999948E-1,-1.080000028E-1,1.641000032E0
4.644228840E-1,9.679999948E-1,-1.080000028E-1,1.641000032E0
4.693598950E-1,1.062999964E0,7.900000364E-2,1.444000006E0
4.742969100E-1,1.062999964E0,7.900000364E-2,1.444000006E0
4.792339250E-1,1.062999964E0,7.900000364E-2,1.444000006E0
4.841714680E-1,8.849999905E-1,2.259999961E-1,7.999999821E-2
4.891097290E-1,8.849999905E-1,2.259999961E-1,7.999999821E-2
4.940479900E-1,8.849999905E-1,2.259999961E-1,7.999999821E-2
4.989862400E-1,4.539999962E-1,4.359999895E-1,-6.140000224E-1
5.039244150E-1,4.539999962E-1,4.359999895E-1,-6.140000224E-1
5.088625900E-1,4.539999962E-1,4.359999895E-1,-6.140000224E-1
5.138007650E-1,4.539999962E-1,4.359999895E-1,-6.140000224E-1
5.187378190E-1,1.239999980E-1,2.639999986E-1,-7.210000157E-1
5.236748440E-1,1.239999980E-1,2.639999986E-1,-7.210000157E-1
5.286118690E-1,1.239999980E-1,2.639999986E-1,-7.210000157E-1
5.335493510E-1,1.519999951E-1,2.509999871E-1,-5.469999909E-1
5.384869220E-1,1.519999951E-1,2.509999871E-1,-5.469999909E-1
5.434244930E-1,1.519999951E-1,2.509999871E-1,-5.469999909E-1
5.483612410E-1,3.910000026E-1,3.569999933E-1,-2.669999897E-1
5.532974260E-1,3.910000026E-1,3.569999933E-1,-2.669999897E-1
5.582336110E-1,3.910000026E-1,3.569999933E-1,-2.669999897E-1
5.631702740E-1,6.330000162E-1,7.379999757E-1,-2.230000049E-1
5.681075490E-1,6.330000162E-1,7.379999757E-1,-2.230000049E-1
5.730448240E-1,6.330000162E-1,7.379999757E-1,-2.230000049E-1
5.779820980E-1,8.939999938E-1,2.730000019E-1,-1.800000072E-1
5.829192190E-1,8.939999938E-1,2.730000019E-1,-1.800000072E-1
5.878563400E-1,8.939999938E-1,2.730000019E-1,-1.800000072E-1
5.927934580E-1,8.939999938E-1,2.730000019E-1,-1.800000072E-1
5.977304660E-1,1.041000009E0,-3.000000026E-3,-5.000000075E-2
6.026674870E-1,1.041000009E0,-3.000000026E-3,-5.000000075E-2
6.076045080E-1,1.041000009E0,-3.000000026E-3,-5.000000075E-2
6.125411250E-1,1.099999994E-1,3.599999845E-2,4.110000134E-1
6.174776700E-1,1.099999994E-1,3.599999845E-2,4.110000134E-1
6.224142150E-1,1.099999994E-1,3.599999845E-2,4.110000134E-1
6.273502800E-1,-3.490000069E-1,-3.129999936E-1,-4.600000009E-2
6.322860550E-1,-3.490000069E-1,-3.129999936E-1,-4.600000009E-2
6.372218300E-1,-3.490000069E-1,-3.129999936E-1,-4.600000009E-2
6.421577320E-1,-5.130000114E-1,-3.310000002E-1,-1.350000054E-1
6.470938130E-1,-5.130000114E-1,-3.310000002E-1,-1.350000054E-1
6.520298940E-1,-5.130000114E-1,-3.310000002E-1,-1.350000054E-1
6.569660110E-1,-1.340000033E-1,-2.980000079E-1,-6.650000215E-1
6.619021360E-1,-1.340000033E-1,-2.980000079E-1,-6.650000215E-1
